Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop;
;;;;0.350879955;220.6;215.8;38398.4;48880;0.767538684;144244;12010;729;22;1852;460;499;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.156437826;85;78.6;14855.2;19266;0.764043167;64494.2;12012;729;24;1675;426;516;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.327243948;182.4;176.6;34309.6;42380.4;0.760968814;116312;12005;729;17;2361;542;458;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.516393423;300;295.2;54452.8;68781.6;0.792417485;199257.6;12005;729;17;2058;484;487;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.057222128;19.2;13;3558.6;4790.8;0.697116927;22214.4;12012;729;24;1651;426;516;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.184695101;111.2;108.2;20090.8;25739.8;0.778840261;81425;12011;729;23;1728;440;509;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.064236355;27;20.4;4975.4;6614.2;0.68099675;27066.2;12011;729;23;1727;450;504;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.177694511;114.6;111.2;19440.4;25129;0.754798104;80847.8;12005;729;17;1777;440;509;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.244161177;159.2;156;26762.4;34507.4;0.769435476;109493.4;12009;729;21;1766;442;508;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.192522621;96.8;91.2;15939.4;20874.6;0.748510848;69746.6;12010;729;22;1604;420;519;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.412594271;251;245.6;46725.4;59346.6;0.787454496;178390.4;12005;729;17;2242;508;475;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.131563473;65.8;60.4;11581.2;14984.6;0.752564733;51947.6;12005;729;17;1853;450;504;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.110409546;64.6;61;10385;13934.8;0.721450106;51546.4;12012;729;24;1537;406;526;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.290914249;162.8;158;30603.2;38460.6;0.785193299;111264.4;12010;729;22;1855;472;493;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.130163145;60.6;56.2;9848.2;13406.4;0.73220063;51787.6;12014;729;26;1610;408;525;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.105590582;46;42;8287.8;11400.4;0.683082675;45955.2;12013;729;25;1584;426;516;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.117137671;67.8;65;10887.6;14604;0.74330972;53241.4;12011;729;23;1539;410;524;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.064055872;27.4;23.4;4552.8;6404.6;0.676479183;29662.6;12013;729;25;1566;416;521;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.102083874;48.6;45;8020;10254;0.710679698;36260;12010;729;22;1671;428;515;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.080543375;35;30.6;6466;8966.2;0.697638353;38060.6;12011;729;23;1584;418;520;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.170879126;94;89.8;17861.4;23530.6;0.72848482;81762.4;12011;729;23;1717;440;509;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.113198805;61.4;58.2;10800;14521.6;0.731763521;54319;12011;729;23;1567;418;520;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.140209484;84.6;79.4;14054;18645.2;0.708544567;65280.4;12011;729;23;1622;414;522;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.117508364;71.8;67;12153;15831.6;0.755559443;53855.6;12005;729;17;2005;482;488;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.128114939;74.6;69;13385.2;17411.4;0.764607974;58074.8;12011;729;23;1845;468;495;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.146141052;60.2;55.4;11176.6;14498.4;0.735891673;50139.2;12010;729;22;1770;458;500;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.288215542;141.2;135.4;27357.4;34666;0.776947858;105836.4;12009;729;21;1982;490;484;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.096690607;44.6;39.8;6818.4;9379.4;0.712681035;38130.4;12009;729;21;1483;388;535;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.269893599;154.4;149.6;28130;35639.2;0.780119987;109005.8;12005;729;17;2086;486;486;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.15465374;86.8;80.4;15932.6;19971.8;0.787387425;62074.8;12005;729;17;2284;510;474;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.103369713;52;48.6;9709;13149.4;0.729974134;50897.6;12010;729;22;1591;432;513;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.204206944;144.4;139.8;23390.4;30457.6;0.758050418;97441.4;12011;729;23;1583;416;521;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.759975433;443.2;436.6;92677;112700;0.81259092;295699.8;12005;729;17;2384;542;458;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.107332754;57.8;53.8;9941.2;13391.4;0.700168679;49667.8;12012;729;24;1485;406;526;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.360989428;235.4;229.2;41468.6;51786.8;0.786775668;146081.4;12005;729;17;2081;486;486;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.369793701;202.2;197.2;41395.2;52352.4;0.758261874;153869.2;12007;729;19;1969;498;480;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.077874041;30.8;26.8;5861.8;8084.6;0.723850666;35432.2;12013;729;25;1709;438;510;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.09173727;41.2;36.6;8237.4;10708.2;0.727200822;39198;12007;729;19;1969;498;480;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.143561459;72;66;12608.6;16224.4;0.771815612;53388.8;12011;729;23;1660;432;513;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.185556412;121.6;114.6;21321.4;26639.8;0.797618989;77109.8;12013;729;25;1776;452;503;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.288990307;159;154.8;28063.8;35567.4;0.785362397;106226.2;12005;729;17;2058;484;487;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.153044796;90.4;86.8;16650.4;21012.4;0.751914593;63828;12009;729;21;1898;474;492;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.20201354;129.8;122.8;22692.6;29136.2;0.754409869;91414.2;12012;729;24;1762;446;506;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.132297087;80.2;74.6;13200.6;17699.8;0.731755878;63099.4;12013;729;25;1596;422;518;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.09180665;48.8;44.2;8195;11068.4;0.738138675;42857.8;12005;729;17;1997;464;497;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.226090097;172;167;27074.2;34623.6;0.779240254;102272.6;12005;729;17;1595;414;522;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.109936094;70.2;65.8;10880.6;14223.2;0.75603458;48469.4;12011;729;23;1392;382;538;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.08215003;48.2;45.4;6722.2;9449;0.709423486;38888.4;12012;729;24;1313;368;545;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.168468714;111.2;104.4;19179.6;24483.6;0.789312671;75655.8;12011;729;23;1661;430;514;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.135943508;84.8;80.6;14734.4;19113.8;0.769010658;62313.2;12012;729;24;1556;420;519;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.189120245;121.8;117.8;21488.8;27739.2;0.767065994;89147.6;12011;729;23;1687;432;513;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.086196327;55.6;52;7682.6;10762.6;0.71232897;44126.4;12012;729;24;1502;404;527;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;0.170416355;100;96;18518;24030.6;0.767496192;78274.2;12011;729;23;1817;464;497;
;;;;;;;;;;;;;;;;;
